Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A489026,CONFISCATE,03/18/2023,ROSCOE,DOG,5 YEARS,MED,BROWN / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A489026&location=MONT,
A501998,RETURN,04/25/2023,*SILVER,CAT,10 YEARS,MED,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501998&location=MONT,
A501599,OWNER SUR,02/21/2023,COOKIE,OTHER,1 YEAR 2 MONTHS,MED,AGOUTI,RABBIT SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501599&location=MONT,
A504574,OWNER SUR,05/07/2023,*SAMANTA,OTHER,14 WEEKS,MED,BROWN / WHITE,GUINEA PIG,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A504574&location=MONT,
A504573,OWNER SUR,05/07/2023,*SARA,OTHER,14 WEEKS,MED,BROWN / WHITE,GUINEA PIG,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A504573&location=MONT,
A501390,RETURN,04/07/2023,*MIKEY,DOG,3 YEARS,LARGE,WHITE / BROWN,AMER BULLDOG,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501390&location=MONT,
A501124,OWNER SUR,02/09/2023,TANK,LIVESTOCK,5 YEARS,LARGE,WHITE / BLACK,POTBELLY PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501124&location=MONT,
A483605,OWNER SUR,05/05/2023,MOZART,CAT,9 YEARS,MED,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A483605&location=MONT,
A475594,OWNER SUR,04/30/2023,SIMBA,CAT,2 YEARS,MED,BRN TABBY / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A475594&location=MONT,
A501329,OWNER SUR,01/12/2023,*NIGHTLY,OTHER,4 MONTHS,SMALL,BLACK,MOUSE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501329&location=MONT,
A406310,CONFISCATE,03/18/2023,CHARLIE,DOG,7 YEARS,MED,WHITE / BROWN,AM PIT BULL TER / BOXER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A406310&location=MONT,
A504659,OWNER SUR,05/09/2023,DRAGON,OTHER,8 MONTHS,SMALL,BROWN,GUINEA PIG,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A504659&location=MONT,
A503255,OWNER SUR,04/06/2023,ANYA,CAT,10 YEARS,LARGE,BLACK,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A503255&location=MONT,
A502904,OWNER SUR,03/28/2023,*SHILO,DOG,4 YEARS,MED,BLACK,AMER BULLDOG / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A502904&location=MONT,
A504328,OWNER SUR,05/02/2023,GABE,OTHER,NO AGE,SMALL,WHITE / TAN,GUINEA PIG,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A504328&location=MONT,
A504446,OWNER SUR,05/04/2023,ROCKY,OTHER,1 YEAR,MED,TAN / BLACK,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A504446&location=MONT,
A493947,OWNER SUR,03/16/2023,BOMA,OTHER,2 YEARS,SMALL,BLACK,RABBIT SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493947&location=MONT,
A504327,OWNER SUR,05/02/2023,ERIN,OTHER,NO AGE,SMALL,BROWN / TAN,GUINEA PIG,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A504327&location=MONT,
A504296,OWNER SUR,05/01/2023,BELLA,CAT,5 YEARS,MED,GRAY TAB,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A504296&location=MONT,
A502318,RETURN,05/04/2023,*FAITH,DOG,1 YEAR 2 MONTHS,MED,WHITE / BLACK,ALASKAN HUSKY,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A502318&location=MONT,
